Jogador;ROI
Neat;8
LP;8
Neat;1
Random;1
Neat;3
TP;6
Neat;2
LA;2
LA;31
Neat;24
LP;24
LA;7
Neat;7
TA;204
Neat;18
Neat;-19
LA;-19
TA;-19
Neat;3
Neat;12
TP;12
LA;85
LP;85
Neat;268
LA;19
Neat;288
LP;171
LA;12
Neat;9
TA;290
LP;11
TP;209
LP;289
Neat;11
LA;28
LP;28
TA;209
LP;12
Neat;173
Neat;159
Neat;158
TP;218
TA;156
TP;398
Neat;11
LP;-21
Neat;-21
LA;-21
TA;-21
LA;15
Neat;211
LA;3
Neat;3
Neat;6
LP;216
LP;19
Neat;8
LA;29
LP;187
TA;197
Neat;152
LP;11
LA;11
Neat;3
LP;3
LA;181
LP;132
LA;19
TA;197
LA;6
LA;11
TA;220
TA;60
TP;60
TP;167
LA;201
TP;244
LA;315
Neat;320
Neat;44
LA;197
TP;197
TP;171
Neat;288
LA;9
LP;9
LA;3
LP;3
Neat;3
LP;12
TP;6
TP;163
LA;220
LA;221
LP;1
Neat;1
LP;12
LA;12
LP;16
LA;291
LA;0
Neat;0
LP;0
Neat;220
Neat;11
Neat;15
LA;31
Neat;191
LP;354
LP;12
LP;10
Neat;145
TA;243
LA;59
LP;59
LP;14
TP;220
LA;12
TP;77
LA;77
LP;155
Neat;6
Neat;5
TA;220
Neat;188
LA;200
LP;15
Neat;63
LP;63
LP;8
Neat;173
LA;116
LP;-36
Neat;-36
LA;-36
TA;-36
LP;35
TP;35
LA;288
Neat;11
LA;125
LP;257
TP;78
LP;78
LA;226
Neat;8
LA;15
Neat;9
LP;5
LA;216
Neat;6
LA;6
Neat;-20
LA;-20
TA;-20
LP;-20
LP;271
LA;221
Neat;25
Neat;14
LP;4
LA;4
LA;128
LP;128
LA;85
TP;85
LP;14
TA;155
TP;36
TA;36
LA;13
LA;26
LA;19
Random;47
LA;22
LP;15
LA;219
TA;301
LP;5
TP;236
Neat;32
Neat;22
TA;159
LP;188
LA;15
LA;16
TP;47
LP;47
LP;4
LA;4
LP;10
Neat;11
Random;270
TA;253
TP;218
TP;58
TA;58
Neat;23
LA;216
LP;147
TP;209
LA;197
Random;-17
Neat;-17
LA;-17
TA;-17
TP;231
Neat;12
TA;117
LP;153
LA;235
Neat;216
TA;289
TP;14
Neat;1
LP;1
LA;291
TA;261
TA;216
LP;6
Neat;6
LA;6
Neat;276
LP;156
LP;27
TA;48
LA;48
Neat;2
LA;2
Neat;7
Neat;179
LA;158
TP;241
LP;106
TP;271
LP;0
Neat;0
LA;0
Neat;30
TA;7
TP;151
TA;190
LP;16
LA;16
LP;-6
Neat;-6
TA;-6
TA;94
LP;94
LA;58
LP;58
LA;3
Neat;3
LA;238
Neat;9
TA;148
LP;149
LA;192
TA;165
LP;44
Neat;44
LP;200
Neat;283
LP;52
LA;10
LP;201
LP;158
TP;223
Random;259
LA;12
LA;93
TP;93
LA;2
LP;2
Neat;2
Neat;20
TA;216
LA;287
LP;181
LA;0
Neat;0
LP;51
Neat;51
LP;4
LA;4
LA;267
LA;13
LA;103
LA;16
Neat;4
LP;24
Neat;6
Neat;1
LA;1
TP;10
LA;143
TA;143
Random;30
Neat;30
TA;2
LP;2
LA;2
LP;157
TP;171
Neat;8
LP;8
TA;286
Neat;193
LP;6
LA;6
TP;193
LP;0
Neat;0
LA;0
LP;182
Neat;11
LA;3
LP;3
LA;12
Neat;7
Neat;13
TA;16
LP;155
TA;311
TA;273
Neat;248
Neat;189
TA;252
Neat;11
Neat;165
Neat;16
LP;2
Neat;2
LP;144
LP;288
Neat;270
LA;11
LP;12
Neat;6
Neat;18
Neat;149
TA;383
LA;54
TA;54
Neat;219
TP;-15
Neat;-15
TA;-15
Neat;11
LA;8
LP;152
TA;60
Neat;60
TP;14
LA;14
LP;17
Neat;152
TA;216
LP;7
TA;328
TP;163
TA;223
LP;-10
LA;-10
TA;-10
Neat;40
LA;134
Neat;134
LP;4
LA;251
LA;58
TA;58
LP;133
Neat;-22
LA;-22
TA;-22
TP;-22
LP;-22
Neat;2
LP;2
Neat;8
TP;155
LP;184
TA;311
LA;94
LP;94
TP;224
LA;0
LP;0
Neat;0
LP;219
LP;260
LP;135
Neat;225
TA;240
LP;2
Neat;2
TA;11
LP;167
Neat;355
TP;288
Neat;286
LA;4
Neat;4
LP;5
LP;161
Neat;107
TA;107
Neat;24
TP;13
