Jogador;ROI
LP;1
Neat;1
LP;25
TP;6
LA;22
Neat;28
LP;28
LA;16
Neat;16
TA;195
Neat;196
Neat;231
TP;11
LA;308
LA;3
TP;3
TP;401
TA;197
LP;27
LA;27
LP;5
LP;152
LA;5
LP;5
LA;61
LP;61
TP;44
LP;44
Neat;7
LP;7
LA;7
Neat;144
LA;-4
Neat;-4
TA;-4
LP;-4
LP;194
Neat;0
LA;0
LP;58
TA;58
LP;222
TP;12
TA;69
TP;69
Neat;125
TP;261
TP;138
LP;4
LA;4
Neat;216
LA;159
TP;60
Neat;60
LA;6
LA;117
LP;41
TP;41
LP;216
Neat;10
LP;37
Neat;37
LP;2
Neat;2
LA;2
LP;44
LP;-20
Random;-20
Neat;-20
TA;-20
LA;216
Neat;203
LA;201
LA;137
Neat;17
Neat;29
TP;29
Neat;12
TA;192
LA;37
LP;37
LP;3
LA;3
LP;243
LA;11
Neat;291
LA;9
LP;6
LA;261
LA;7
LP;48
Neat;48
Neat;7
TA;27
LA;7
LP;197
LA;288
LA;12
Neat;4
LP;4
LP;14
TA;155
TP;9
TA;297
Neat;167
LA;252
LA;286
LP;13
LA;141
LA;196
LP;243
TA;144
LA;11
LP;172
Neat;197
LP;163
LA;21
TA;220
Neat;240
LP;1
Neat;1
LP;12
Neat;12
LP;301
LA;58
LP;58
TP;145
Neat;315
Neat;13
TP;289
Neat;244
Neat;182
Neat;7
LA;9
TP;221
TA;139
LA;68
LP;190
TP;21
LA;193
LP;197
LP;46
TA;46
Neat;63
TA;63
LP;144
Neat;59
Neat;3
LP;4
Neat;4
LP;253
LP;237
Neat;252
LA;21
LA;7
TA;81
Neat;81
Neat;5
Neat;5
Neat;8
Neat;21
TA;173
LA;150
TA;291
Neat;11
LP;361
LP;215
TP;6
TA;288
TP;-3
LP;-3
Neat;-3
TA;-3
Random;189
Neat;58
TA;58
TA;189
TA;191
TA;175
Neat;155
LP;-6
Neat;-6
TP;-6
LP;117
LA;136
LP;146
Neat;161
Neat;32
TA;95
TP;95
Neat;8
LA;63
TP;63
Neat;92
TP;164
TA;144
LA;172
Neat;185
LA;271
LA;2
Neat;2
TA;261
LA;16
LP;219
LA;162
TP;5
LP;5
Neat;204
LP;170
Neat;5
LP;172
Neat;5
LA;5
LP;5
LA;11
LP;197
LP;3
LA;3
LP;255
LP;-6
Neat;-6
TA;-6
LA;60
LA;5
Random;5
LP;8
TA;134
TP;217
LA;152
Neat;13
LA;13
TP;220
TA;-31
LP;-31
Random;-31
LA;-31
Random;258
Neat;220
LA;144
LP;249
LA;19
TP;19
LP;213
LP;36
Random;36
LP;26
LP;59
LP;139
LP;2
Neat;2
LP;3
LA;3
TA;196
LP;6
TP;6
Neat;13
Neat;181
LP;7
TA;5
TP;219
Neat;5
Neat;52
LP;52
Neat;191
Neat;16
LA;21
LP;138
Random;237
Neat;-20
LA;-20
TA;-20
LP;-20
LP;9
LA;164
TA;20
LA;20
Neat;41
TP;187
TP;60
LP;60
LA;11
LP;7
Neat;8
Neat;23
TA;23
Neat;79
LA;79
LP;252
LP;172
LP;64
LP;8
Neat;219
Neat;11
LP;11
Neat;14
LA;173
LA;17
TP;17
LP;17
Neat;17
Neat;26
TA;190
LA;1
Neat;1
LA;3
Neat;3
LP;14
TP;175
Neat;183
Neat;0
LA;0
LP;0
LA;15
Neat;51
Neat;157
LA;10
Neat;58
TA;58
Neat;68
TA;68
LA;29
TA;119
LP;12
LA;289
LP;2
Neat;2
Neat;12
LA;16
LP;209
LA;278
Neat;11
LA;237
LP;167
LA;55
TP;55
TA;12
LP;2
Neat;2
Neat;0
LA;0
LA;6
Neat;225
Neat;286
TP;7
TP;22
LP;13
Neat;13
Neat;219
Neat;5
LA;21
TP;196
LP;288
Random;45
LP;20
LA;168
LP;127
LP;136
LA;7
Neat;1
LA;1
Neat;-20
LA;-20
TA;-20
LP;-20
LP;165
LP;164
Neat;25
LP;157
Neat;51
LP;147
Neat;13
LP;173
Neat;14
LA;14
Neat;10
LP;11
Random;39
TP;39
Neat;167
Random;23
LA;77
Neat;224
LA;15
LP;288
LA;383
LP;4
Neat;261
LP;30
LA;30
LP;58
TA;58
Neat;45
LP;45
LA;8
LA;3
Neat;3
LP;209
LA;112
LA;217
LA;169
LA;35
Neat;15
TA;-32
TP;-32
LP;-32
Neat;-32
LA;-32
LA;273
LP;16
TP;16
Neat;55
TP;55
LA;9
LA;-44
TA;-44
LP;-44
Random;-44
Neat;-44
LA;262
LP;136
TP;17
LA;182
Neat;9
LP;197
TP;261
Neat;14
TA;14
LA;183
LA;144
LA;15
LA;-23
TA;-23
Neat;-23
Neat;20
Neat;12
Neat;197
TA;193
LA;93
TA;93
LA;37
Neat;37
LA;8
LP;125
LP;1
Neat;1
TP;5
TP;8
LA;-15
TA;-15
Neat;-15
TA;25
Neat;25
LP;142
LP;22
LA;288
LP;15
TA;9
Neat;16
Neat;95
TA;95
Neat;167
Neat;0
LP;0
TA;381
Neat;133
Neat;12
LP;25
TA;12
TA;219
TA;215
LA;-23
TA;-23
TP;-23
Neat;-23
LA;242
LA;11
Neat;9
Neat;27
LA;6
Neat;164
Neat;6
LP;157
TA;197
Random;-38
Neat;-38
LA;-38
TP;-38
LP;-38
LA;12
Neat;382
LP;12
LP;288
LP;198
Neat;35
Neat;271
Neat;3
TA;196
LP;159
LP;131
TA;31
Neat;11
TA;164
LP;185
TA;216
TA;217
LA;147
Neat;9
Neat;173
Neat;5
Neat;13
Neat;5
LA;188
LA;286
LA;276
LP;3
Neat;3
LP;162
TA;288
Neat;243
LA;46
LP;46
LP;109
TA;-10
TP;-10
LP;-10
LA;-10
LP;3
LA;3
TA;43
LA;216
LA;-22
Neat;-22
TA;-22
Random;-22
LA;95
TP;95
LA;14
TP;305
LP;69
TA;69
LP;151
LA;60
Neat;60
LP;60
LA;6
TP;211
Neat;14
LA;17
TP;279
Neat;367
LA;0
LP;0
Neat;0
TA;-40
Random;-40
Neat;-40
LA;-40
LA;30
Neat;10
Neat;8
LA;381
Neat;221
Neat;4
Neat;182
LP;3
LA;3
TA;35
LP;35
LA;59
Random;59
LA;9
LA;153
TA;293
LP;163
TP;10
Neat;271
LA;27
LA;23
Neat;42
TA;42
TP;355
LP;10
LA;11
LA;146
LP;11
LA;138
Neat;17
TP;147
LA;72
TA;72
TP;252
LP;0
Neat;0
LP;12
LP;193
LP;297
LA;1
Neat;1
LA;9
TA;261
Neat;3
LP;6
Neat;6
LA;6
Neat;0
LA;0
LP;154
Neat;125
Neat;19
TP;10
LP;20
Neat;1
LA;1
Random;256
LA;7
LA;7
TP;217
TA;217
TP;221
LA;129
TP;129
Neat;4
TP;158
LP;94
Neat;94
Neat;4
LA;6
LA;152
LP;296
LP;21
LP;38
LA;38
Neat;56
LA;8
LA;11
LA;108
LP;205
LP;3
Neat;3
LP;-21
Neat;-21
LA;-21
TA;-21
TA;99
TP;99
LA;271
Random;1
Neat;1
TA;197
Neat;114
LP;16
TA;16
LA;288
LP;186
LP;11
Neat;3
LA;3
Neat;254
Neat;10
TA;10
TA;171
LP;5
Neat;205
LP;45
Neat;157
LP;13
Neat;182
LP;181
LA;41
TP;41
Neat;15
TP;29
LP;29
LA;29
TP;243
TA;216
LA;26
LP;26
LA;8
LA;197
TA;10
LP;219
Random;-18
Neat;-18
LA;-18
TA;-18
LP;-18
TP;148
LP;197
TA;-1
TP;-1
LA;-1
LA;217
LP;28
TP;28
TA;147
TP;256
Neat;6
LP;2
Neat;2
LA;2
LP;155
LP;5
Random;70
LP;70
Neat;5
LP;7
LP;49
Neat;49
LA;49
TA;196
TA;225
TP;288
Neat;4
LP;4
Neat;32
LP;163
LP;139
Neat;-19
LA;-19
TA;-19
LA;41
TP;41
LA;15
Neat;16
LA;173
LA;48
TP;288
TP;27
TA;308
LA;23
Neat;17
LP;301
Neat;11
TA;27
TP;27
TP;12
LP;1
Neat;1
LA;1
LP;215
LP;12
LA;12
Neat;4
TA;4
LP;286
Neat;193
LA;197
TP;94
Neat;94
LP;283
LP;154
Neat;286
TA;164
LA;20
LA;9
Neat;64
TP;64
LA;216
LA;13
LA;173
Neat;12
LP;7
TA;220
Neat;94
LP;94
LA;192
LP;7
LP;197
LP;7
Random;233
LA;291
LA;8
LP;8
LA;1
LP;1
Neat;1
Neat;14
TA;249
Neat;3
TA;27
LA;23
LA;-16
TA;-16
Neat;-16
LP;153
TP;225
Neat;145
LP;62
LA;-21
Neat;-21
TP;-21
LA;9
TA;321
LA;172
Neat;71
TP;71
Random;177
Neat;11
LA;4
TA;131
Neat;3
TP;289
LP;147
LA;234
LA;36
LP;36
TP;241
Neat;9
LP;24
Neat;24
TA;24
LP;144
TA;233
TA;173
LP;7
Neat;7
TP;7
LP;125
LA;125
Random;104
LA;104
LP;193
TA;173
LP;14
Neat;12
TP;20
Neat;158
TA;192
Neat;20
TA;-28
TP;-28
LP;-28
Neat;-28
LA;-28
LA;288
Neat;217
Neat;24
Neat;172
LA;56
LP;56
LP;158
LP;0
Neat;0
LA;0
LP;219
Neat;26
Neat;85
TA;85
Neat;6
LP;7
LP;188
TA;145
TA;82
Neat;147
LA;116
TP;116
TA;9
Neat;1
LP;10
Neat;99
TP;99
TP;21
Neat;200
LP;1
Neat;1
LA;196
LA;248
Neat;-2
LA;-2
LP;-2
LA;1
Neat;1
LP;1
Neat;1
TA;241
LA;191
TP;148
LA;12
LA;5
Neat;4
Neat;271
Neat;17
LP;2
Neat;2
Neat;6
TP;381
TA;14
TA;205
LP;-15
Neat;-15
TA;-15
TA;355
TP;266
LA;11
LA;94
Neat;94
TA;227
TA;142
LA;11
Neat;58
TA;58
LA;220
LA;209
TA;166
Neat;216
