Jogador;ROI
Neat;155
TP;118
LP;32
TA;32
Neat;155
LA;25
TA;25
TA;155
LP;145
TP;145
LP;25
TA;25
Neat;75
TP;75
LP;150
TA;155
Neat;171
Neat;4
TP;157
Neat;49
TA;49
Neat;213
Neat;233
TA;175
TP;-25
Neat;-25
LA;-25
Neat;6
Neat;191
TA;108
LP;186
LP;22
LA;22
Neat;76
Neat;-15
TA;-15
TP;-15
TA;99
Neat;32
LP;32
LA;27
LP;27
TA;139
LP;181
LA;289
LA;172
LP;223
LA;55
TP;55
Neat;148
Neat;86
TA;86
TA;136
LA;168
LA;7
Neat;7
LP;7
LA;123
TA;103
LP;65
TA;65
Neat;58
LA;58
LA;157
Neat;209
LP;4
Neat;4
LP;128
LP;219
Neat;32
LA;32
Neat;91
TP;155
LA;-5
TA;-5
LP;217
Random;119
Neat;119
LP;51
LA;51
TP;286
LA;-17
Neat;-17
LP;-17
LA;131
LA;151
TP;216
LA;220
Random;-16
LA;-16
TA;-16
LP;124
Neat;155
TA;-16
TP;-16
LP;-16
LA;-16
LP;183
LP;181
Neat;-8
LA;-8
LP;-8
Neat;127
Neat;144
LA;216
LP;25
TA;25
TA;293
Neat;9
TA;9
Neat;2
Neat;135
Neat;146
LP;112
LP;101
LA;101
LA;119
LA;75
LA;123
LP;217
TA;144
Random;136
LA;118
TA;107
LA;-9
TA;-9
TP;-9
Random;-9
TA;139
LA;73
LP;137
Neat;94
TP;94
LA;27
TA;27
LA;134
LP;217
LP;118
Neat;-25
LA;-25
TP;-25
Neat;251
LA;36
TP;36
TA;155
TP;58
LA;58
LA;181
LA;149
LA;191
Neat;124
LP;139
LP;216
Neat;17
LP;86
Neat;86
Neat;18
LA;18
Neat;131
LP;131
TP;27
Neat;27
TP;28
Random;28
Neat;28
Neat;219
Neat;50
TP;50
TP;173
LA;39
LP;39
TA;114
TP;41
Neat;41
TA;220
TA;27
LP;27
TP;246
LA;-39
TA;-39
Random;-39
Neat;-39
TA;263
Neat;4
Neat;183
TA;136
Neat;164
TA;134
TP;19
Random;19
LP;219
LP;-41
Neat;-41
LA;-41
TP;-41
TP;251
Neat;165
TA;48
LP;48
LA;175
TA;206
LP;103
LA;168
TP;153
LA;245
LP;-13
Neat;-13
LA;-13
LP;293
LA;106
Neat;200
Neat;173
LA;10
TA;10
TP;10
LP;10
Neat;10
LA;146
Neat;-13
TA;-13
LP;167
Neat;139
LA;355
LA;133
TP;196
Neat;154
LP;117
Neat;-41
LA;-41
TP;-41
LP;-41
LA;53
Neat;53
TA;153
LP;172
LA;10
TA;10
LP;23
LA;23
Neat;19
TA;19
TP;16
LP;155
TP;175
LP;123
LP;217
Neat;-27
LA;-27
LP;-27
Neat;107
TP;132
Neat;226
LP;100
TA;145
LA;30
LP;30
Neat;4
Neat;206
Neat;155
Neat;144
TA;164
LA;191
LP;123
Neat;247
Neat;26
TP;182
Neat;124
LP;287
LA;125
LA;91
TP;157
TP;189
TP;217
Neat;191
LA;37
TP;37
LA;32
TP;32
LP;125
LP;181
Neat;217
LA;196
LP;168
TA;177
LP;134
TP;151
Neat;217
LA;120
Neat;114
TP;114
LA;-15
TP;-15
Neat;-15
TP;242
TP;288
Neat;217
Neat;9
TA;159
LA;170
LA;261
LP;26
LA;26
Neat;181
LP;9
LP;133
Neat;211
TP;216
TP;290
LP;164
Neat;118
Neat;126
LA;141
Neat;6
LP;144
Random;116
TA;19
LP;19
LA;132
TP;197
Random;211
Neat;182
LA;117
LA;168
LA;153
Neat;131
LP;-45
Random;-45
Neat;-45
LA;-45
LA;73
TA;149
Neat;9
TA;9
TP;372
LP;107
LP;22
LA;22
LP;144
Random;32
LA;32
TA;245
LA;54
TA;54
LA;19
Neat;19
LP;138
TP;32
LA;32
LA;145
Neat;167
LA;173
LP;139
Neat;139
TP;95
Neat;95
LP;164
TA;136
Neat;76
LP;76
Neat;131
LP;161
LA;154
Random;22
TA;22
LA;178
TP;172
LP;261
Neat;125
Neat;144
LA;171
Neat;-11
LA;-11
LP;-11
TP;173
LA;103
TA;208
Neat;118
LP;257
LA;286
LP;167
Neat;132
Neat;175
LP;181
LA;123
LP;286
LP;150
LA;43
Random;43
LA;152
LP;144
TP;206
Neat;191
Neat;215
TP;161
TA;109
Neat;144
LP;19
LA;19
Neat;4
TP;220
TA;42
Neat;42
TA;101
LP;101
TA;194
Neat;167
TA;118
Neat;92
LP;92
LP;308
Neat;176
Neat;265
LP;136
Neat;-3
LA;-3
LP;-3
LA;-38
Neat;-38
TA;-38
LP;-38
TP;247
Neat;196
Neat;41
TA;41
LP;22
LA;22
Neat;-12
TA;-12
LP;-12
LA;26
TA;26
TP;120
Neat;131
Neat;154
LP;58
Neat;58
TA;93
LP;93
TA;192
Neat;130
Neat;134
Neat;145
LP;153
LA;250
Neat;35
Random;35
TA;247
Neat;139
Neat;4
LA;220
Neat;29
LA;29
LP;29
LA;172
LA;131
TA;139
Neat;117
TP;349
LP;120
Neat;151
TA;155
TP;288
Neat;181
LA;75
LP;101
LA;209
LA;109
LP;139
TP;125
Random;125
Neat;181
TP;236
LP;207
LA;7
Neat;7
TP;154
LP;139
LP;18
Neat;18
Random;172
Neat;151
LP;154
Neat;147
LP;138
Neat;205
TA;136
TA;198
LP;138
LP;175
TP;181
LP;189
TA;136
LA;132
TA;107
Neat;107
LP;138
Neat;7
LP;154
Neat;41
TP;41
TP;173
LA;16
LP;16
TP;161
TA;188
TA;349
Neat;136
Neat;97
TP;192
LP;139
LP;22
LA;22
LA;205
Neat;192
LP;126
Neat;44
TA;-40
LP;-40
Neat;-40
LA;-40
LP;22
LA;22
LA;145
Neat;157
Neat;124
Neat;197
Neat;2
TA;145
Random;25
LA;25
TP;152
LA;151
Neat;159
LA;154
Neat;183
LA;272
Neat;157
TP;157
LA;85
Neat;85
LP;98
TP;58
LA;58
TP;339
Neat;145
LA;211
TP;135
TA;144
TP;151
LA;191
LA;145
LA;196
TA;209
TA;119
LA;145
LA;196
Neat;213
Neat;-3
LA;-3
LP;-3
LA;78
LA;-26
TP;-26
LP;-26
Neat;-26
LA;140
LP;21
LA;21
LP;56
Neat;56
Neat;195
Neat;170
LA;11
Neat;11
Neat;139
Neat;143
TP;111
Neat;9
LP;9
LA;25
TP;25
LA;-8
TA;-8
Neat;-8
LP;158
TA;108
Neat;59
TP;59
LA;99
LP;173
LA;48
LP;48
Neat;145
LP;145
TA;288
Random;167
LA;5
Random;5
TP;144
LA;176
Neat;160
Neat;183
TP;120
Neat;179
LA;-45
TA;-45
TP;-45
LP;-45
Neat;-45
Neat;146
LP;144
LP;217
Neat;-12
LA;-12
TP;-12
LP;-12
Neat;153
LP;114
Neat;4
Neat;125
LA;181
Neat;2
TA;155
TA;138
TA;20
LP;20
LA;20
Neat;124
Random;79
TP;79
TP;287
LA;155
Neat;152
TA;37
TP;37
Random;144
LA;145
Neat;4
LA;37
LP;37
TA;177
TA;20
TP;20
Neat;20
LP;144
LA;164
Neat;-27
LA;-27
TA;-27
LP;-27
LA;36
TP;36
LA;188
LP;41
Neat;41
Neat;143
Neat;187
Neat;79
TA;79
TP;209
TP;136
TA;80
Neat;80
TA;154
TA;150
TP;99
LA;25
TA;25
Random;138
LP;216
TP;58
LA;58
LP;5
Neat;5
TP;93
LP;93
LP;106
LA;-13
TA;-13
LP;-13
Neat;-13
TP;184
TP;207
TA;145
LA;101
LA;154
TA;177
TP;263
TP;27
LP;27
TA;154
LA;286
Neat;173
TA;196
TA;11
Neat;11
TP;-21
LP;-21
Neat;-21
LA;-21
TP;187
LP;173
LP;126
LA;185
LA;151
TP;-6
LP;-6
Neat;-6
LP;117
Neat;-41
LA;-41
TA;-41
LP;-41
LA;204
LP;131
Random;54
Neat;54
TA;144
LA;272
TA;139
Neat;1
TA;99
LP;148
TP;141
LA;137
TP;58
LA;209
LP;16
Neat;16
Neat;4
TA;144
TA;181
LA;118
LP;209
LA;112
TP;26
Neat;26
TP;42
Neat;42
Neat;3
Neat;287
LP;209
TA;155
TP;-21
LP;-21
Neat;-21
LA;-21
Neat;118
LP;-7
Neat;-7
TA;136
LA;195
LA;-36
TA;-36
TP;-36
Neat;-36
Neat;146
TP;41
TA;41
LP;217
Neat;168
LA;115
LA;156
TA;48
LP;48
LP;23
LA;23
LP;56
TP;56
LP;191
LA;26
LP;26
TP;155
LP;-20
Neat;-20
LA;-20
LP;195
