Jogador;ROI
LP;136
LA;172
TA;144
LA;145
LP;27
LA;27
TP;145
LA;229
LP;66
Neat;144
TA;197
Neat;144
Neat;213
Neat;46
LP;46
LA;125
TP;123
Neat;216
Neat;251
LP;145
Random;45
LP;45
Neat;14
LP;14
LP;202
TA;20
LA;20
TP;125
TP;183
LP;194
LA;25
TA;25
LA;186
TA;48
Neat;48
TA;201
Neat;149
Random;-21
Neat;-21
LA;-21
LP;-21
LA;153
TA;261
LP;196
LA;108
TP;145
Neat;27
TA;27
Neat;146
LA;-1
TP;-1
Neat;-1
TP;144
LA;198
Neat;187
LP;139
Neat;151
LA;131
LA;139
LA;144
LP;58
LA;58
Neat;7
Neat;150
TP;150
Neat;20
LP;123
LP;215
LP;120
LA;315
TP;140
Neat;187
Neat;191
LP;188
Neat;45
TA;45
Neat;220
TP;2
Neat;2
LP;131
LP;33
TA;33
TP;185
LA;286
LA;133
LA;124
TA;54
LP;54
TA;171
TA;217
LA;333
LA;0
TP;0
Neat;197
Neat;249
Neat;144
LA;217
TA;118
LA;133
TP;205
LP;132
TP;7
Neat;220
Neat;200
LA;6
Neat;6
TP;6
TA;247
LA;175
Random;213
Neat;283
LA;118
LA;34
Random;34
Neat;185
LP;163
TP;183
Neat;6
Neat;209
TP;146
LP;120
LP;145
LP;1
Neat;1
Neat;217
Neat;29
LA;29
LP;29
LA;12
TP;12
LA;197
Neat;145
Neat;178
LA;205
Neat;-27
LA;-27
LP;-27
LA;125
LP;188
LP;238
Neat;73
Neat;117
Neat;136
LP;133
LP;131
TA;194
Random;211
Neat;91
TP;91
Neat;286
Neat;2
Neat;131
TP;27
LP;27
TP;151
LP;18
Random;229
LA;54
LP;54
LP;138
TA;197
LP;-39
Random;-39
Neat;-39
LA;-39
LP;32
Neat;32
TA;211
LA;151
LP;154
Neat;45
LA;45
Neat;288
LP;145
LP;286
Neat;146
TP;188
Neat;175
LP;41
LA;41
LP;220
TP;251
Neat;272
TP;207
Neat;216
LP;99
TP;145
Neat;-12
LA;-12
LP;-12
LA;27
TP;27
TA;184
TP;182
LP;216
LP;136
LA;173
TP;150
TA;124
LP;196
TP;216
LP;349
Neat;18
LP;18
Neat;164
LA;2
Neat;2
LA;217
Neat;144
LP;145
TP;101
TP;164
LA;-5
TA;-5
Neat;-5
Neat;28
TA;136
LA;349
TP;251
Neat;150
LA;196
LP;69
TP;257
TA;182
LA;138
TP;193
TP;170
LP;218
LP;219
Random;127
Neat;3
LP;3
TA;150
LA;-19
TA;-19
LP;-19
LP;196
TP;217
LP;145
Neat;75
TA;75
LA;173
TP;173
TP;86
Neat;86
Neat;-14
LA;-14
TA;145
Neat;192
TA;24
TP;24
LA;147
Neat;146
Neat;32
TA;32
TP;256
Random;44
LA;44
LP;209
Neat;170
Neat;175
TP;182
LP;136
LA;196
TA;151
LP;257
TP;216
LA;107
TP;183
LP;177
TP;173
Neat;140
LA;143
LA;73
Neat;145
Neat;-53
LA;-53
TA;-53
TP;-53
LP;-53
Neat;151
TA;-5
LP;-5
Neat;-5
Neat;99
Neat;191
LP;201
Neat;77
TP;77
Neat;173
Random;140
Neat;110
Neat;8
LP;20
Neat;20
TP;20
Neat;18
TP;18
TP;236
TA;73
TP;73
LP;23
LA;23
Neat;145
LP;12
LA;12
TA;211
Neat;124
TA;261
LA;182
LP;189
Random;-6
LA;-6
TP;-6
LP;286
Random;153
LA;133
LP;240
Neat;216
TP;75
Neat;10
LP;10
TP;226
LA;30
Neat;30
LP;139
LA;144
Neat;59
LA;59
TA;218
Neat;153
Neat;157
LP;217
LP;9
LA;145
Neat;29
TA;209
LP;197
LP;144
LP;144
LP;-28
Neat;-28
LA;-28
Neat;283
Neat;303
Neat;197
Neat;39
LA;39
TP;145
TA;217
LA;9
TP;9
Neat;51
Random;51
TA;156
TP;159
TP;181
TP;283
Neat;197
Neat;132
TA;214
TA;139
LP;30
Neat;30
TP;219
LP;286
LP;135
LA;124
LP;217
LP;103
LP;289
LP;136
LA;123
LP;18
Neat;18
TA;19
LA;19
TA;144
TA;283
LA;191
LA;268
LA;30
Neat;30
LP;241
LP;145
Neat;22
LA;22
Random;120
LA;13
TP;13
Random;99
Neat;148
Neat;265
LP;58
LA;58
LP;192
TP;90
LA;155
Neat;144
TP;145
LP;27
Neat;27
Neat;172
LP;168
Neat;2
LA;172
Neat;217
LA;136
LA;119
LP;119
LP;3
Neat;3
LA;197
Neat;237
Neat;117
Neat;136
TP;331
LA;-14
LP;-14
Neat;-14
TA;273
Neat;145
Neat;147
LA;191
LA;125
LA;69
Neat;131
TA;216
LP;-6
Neat;-6
TA;-6
LP;135
LA;51
LP;51
LP;131
Neat;162
LA;148
Neat;41
LA;41
LA;99
LA;92
LA;131
LA;172
TA;145
LP;153
TA;152
LA;27
Random;27
LA;-9
TP;-9
LP;-9
TP;152
LP;124
LA;108
TA;286
TP;209
LA;141
Neat;159
Random;104
Neat;5
Neat;54
LA;54
LA;133
TA;156
LP;138
TP;160
LP;124
Neat;236
LA;150
LA;-26
TP;-26
LP;-26
Neat;-26
LP;110
LA;191
LP;99
LP;250
LA;150
LP;6
LP;158
LA;195
LP;216
TP;191
LA;230
Random;196
LP;219
Neat;182
LA;220
Neat;91
Neat;123
TA;197
TA;-29
LP;-29
Neat;-29
LA;-29
TP;96
TA;96
LA;187
LA;46
LP;46
LA;-27
Neat;-27
LP;-27
LP;177
TA;-44
TP;-44
LP;-44
Neat;-44
LA;-44
TA;191
TP;160
LP;21
LA;236
TA;154
LP;-18
Neat;-18
LA;-18
Neat;53
TA;53
TA;145
Neat;149
LA;163
TA;123
Neat;209
Neat;195
Neat;349
TA;168
Neat;173
LA;192
LP;145
Neat;8
LP;9
LA;9
TA;382
TA;153
TA;155
Neat;37
LA;37
TP;-30
LP;-30
LA;-30
TA;-30
Neat;38
TP;38
LA;211
LA;155
TP;123
