Jogador;ROI
TP;216
LP;5
Neat;5
Neat;45
LP;45
TA;91
LA;-31
TA;-31
LP;-31
Neat;-31
Neat;260
LP;-19
Neat;-19
LA;-19
LP;-11
Neat;-11
TA;-11
TA;183
Neat;-39
TA;-39
TP;-39
LP;-39
LA;27
Neat;27
LP;22
LA;22
LA;285
LA;160
Neat;173
LA;16
TP;16
TA;187
LP;142
LP;-19
Neat;-19
TA;-19
TP;230
Neat;99
TP;132
LA;161
TA;139
TP;-6
LP;-6
LA;-6
LP;219
Neat;-3
LA;-3
TP;-3
LP;-3
Neat;60
TP;60
Neat;205
LP;118
LA;217
LP;41
TP;41
LA;177
LA;11
TP;11
LA;-30
LP;-30
Neat;-30
LA;145
Neat;216
LP;164
Random;19
LA;19
LA;-12
Neat;-12
TP;-12
LA;68
LP;68
TA;337
LA;145
LP;99
Random;249
Neat;2
TP;52
Neat;52
LA;108
LA;260
LP;164
TP;18
LP;18
LA;207
TP;154
Neat;217
LP;41
LA;41
TA;214
LA;99
TP;209
Neat;10
TP;-21
LP;-21
Neat;-21
LA;-21
Neat;144
TP;182
Random;298
TA;150
Neat;2
LA;175
LP;22
LA;22
Neat;195
Neat;191
Neat;115
LA;123
Neat;175
Neat;118
LA;205
Random;172
Neat;3
LA;-51
TA;-51
LP;-51
Random;-51
Neat;-51
TP;288
Neat;196
LP;217
Random;65
LP;65
TA;71
TP;71
Neat;8
Neat;209
Neat;216
LA;187
TA;120
LA;125
Neat;197
Neat;138
Neat;128
LA;99
LP;157
LA;124
LP;194
TA;-18
LP;-18
LA;-18
TP;134
Neat;154
TP;136
LA;-22
Neat;-22
LP;-22
TP;197
LP;208
LA;143
LP;97
Neat;-3
LA;-3
LP;-3
Random;144
Neat;123
LA;146
LA;216
LA;73
LP;138
LA;63
TA;63
TP;197
Neat;9
TA;164
Neat;230
Random;-45
Neat;-45
LA;-45
TA;-45
TP;-45
LP;-45
LA;35
TP;35
TA;5
TP;5
Neat;5
Neat;152
LP;27
LA;27
LP;139
LP;191
LA;-55
Neat;-55
TA;-55
TP;-55
Random;-55
LA;144
LP;216
LP;181
Neat;220
LA;192
LA;-16
Neat;-16
LP;-16
LA;207
TA;20
LP;20
LP;124
LA;73
LA;130
TP;158
Neat;137
TP;237
LA;128
Neat;59
TP;59
Neat;93
LP;93
LP;159
TP;200
LA;144
LP;181
Neat;124
Random;167
LA;-11
Neat;-11
Neat;196
TA;60
Neat;60
Neat;225
Neat;220
LP;170
TA;124
LA;-40
TP;-40
LP;-40
Neat;-40
TA;139
LP;1
Neat;1
LP;32
LA;32
LA;65
LP;65
TA;173
LP;196
Neat;36
LP;-19
LA;-19
TA;-19
LP;181
TP;154
LA;-15
Neat;-15
TP;-15
LA;175
LP;-19
Neat;-19
LA;-19
LP;-25
Neat;-25
LA;-25
LP;147
LA;200
Neat;159
LA;16
Neat;16
TP;196
Neat;191
TP;219
LP;178
TA;153
LA;197
LA;280
LA;196
LP;42
TP;42
Neat;291
LA;-22
Neat;-22
TP;-22
Neat;207
TP;134
Neat;161
LA;315
LA;48
TP;48
Neat;2
LA;16
Neat;16
TP;152
LP;144
LP;182
Neat;1
Random;323
LA;221
TP;19
LP;19
LA;19
TA;181
LP;4
Random;4
TP;4
LA;18
LP;18
LA;123
Neat;66
Neat;35
Neat;160
Neat;145
LA;118
Random;173
LA;29
Neat;29
LA;145
Neat;22
TA;22
Neat;145
LA;192
LA;156
Neat;137
LA;187
Neat;216
LP;50
Neat;50
TA;50
Neat;120
LA;115
TP;190
LA;216
LA;205
Neat;23
TP;23
Random;149
Neat;147
LA;185
TP;155
LA;144
TP;183
Neat;85
TA;373
LP;238
LP;98
TP;58
Neat;58
Random;125
TP;125
LP;191
Neat;209
TA;155
TA;20
Neat;20
LA;288
LP;181
TP;136
LA;91
Neat;175
Neat;146
LP;216
LP;22
LA;22
TA;136
Neat;211
LA;157
Random;218
TP;48
LP;48
LA;96
TA;96
LA;257
LA;155
LA;132
LA;110
Neat;143
LP;-11
Neat;-11
TA;-11
Neat;118
Neat;-31
TA;-31
LP;-31
LA;67
Neat;118
LA;143
LP;-6
Neat;-6
TA;-6
LP;286
LP;2
LA;27
LP;27
TA;139
TP;28
LP;28
LA;28
LP;1
Neat;1
LA;118
LP;182
TP;253
TP;175
LA;145
Random;237
LP;152
LA;134
TA;27
LP;27
LP;145
Neat;159
Neat;197
LA;165
Neat;164
LA;126
LP;208
TP;147
TP;99
Neat;192
LA;-11
Neat;-11
TP;36
Neat;36
Neat;243
TP;-21
LP;-21
Neat;-21
LA;-21
Random;-1
TA;-1
TA;136
Neat;153
LA;103
TA;32
Neat;32
LP;-16
Neat;-16
LA;-16
LP;31
Neat;31
TP;31
LA;168
Random;144
Neat;67
Neat;139
LP;150
LA;138
Neat;139
Neat;75
LP;8
Neat;8
Neat;216
LP;349
LA;205
Neat;19
TA;19
Neat;119
TA;154
LA;139
LA;286
Neat;3
LP;213
LA;12
LP;12
LA;-1
LP;-1
Neat;-1
LP;288
TA;196
Neat;219
Random;33
Neat;33
TP;33
TA;339
TA;108
LA;206
TP;154
LP;20
Neat;20
TA;20
Neat;93
TP;93
LA;155
LA;-17
Neat;-17
Neat;144
Neat;183
LP;-46
Random;-46
Neat;-46
LA;-46
TA;-46
Neat;29
TA;29
LP;29
Neat;1
Random;109
Neat;298
Neat;200
LA;145
Neat;37
LP;37
LA;37
Neat;37
Neat;186
Neat;161
LP;191
LP;145
LA;251
LA;54
TP;54
LA;131
Neat;115
Neat;144
TA;145
Neat;168
LP;136
TA;155
Neat;152
LA;73
Neat;197
Random;172
Neat;36
LP;36
TP;257
TA;-23
LP;-23
Neat;-23
LA;160
TP;201
Neat;1
TA;268
Random;175
LP;226
TP;-44
LP;-44
Neat;-44
LA;-44
TA;-44
LA;124
Neat;-11
LA;-11
TP;-11
LP;-11
TA;17
LP;17
Neat;154
TP;134
LA;108
LP;217
LA;251
LA;27
LP;27
LP;153
LP;145
Neat;144
LP;73
LA;118
LA;15
TA;15
LP;167
LP;270
Neat;74
LA;74
Random;181
TA;118
Random;153
LA;-30
TA;-30
TP;-30
LP;-30
Neat;-30
Neat;144
TA;154
LA;145
LA;200
LA;60
LP;60
TA;130
TP;58
Neat;58
TP;41
LA;41
LA;247
TP;229
LP;205
LA;175
Neat;144
TP;-1
Neat;-1
LA;-1
Neat;195
TA;136
Neat;218
Neat;4
LP;211
LP;143
Neat;8
TA;8
TA;286
LP;175
Neat;3
TA;-50
TP;-50
Random;-50
Neat;-50
LA;-50
TP;118
Neat;86
LA;86
TP;382
LA;103
TP;103
Neat;308
LP;144
TP;41
LA;41
Neat;145
LP;98
LA;173
LP;1
Neat;1
TA;175
LP;248
LP;145
LP;191
TA;150
TP;197
Neat;139
TA;273
LP;25
LA;25
Random;251
TP;99
LP;141
Neat;25
TP;27
Neat;27
LP;27
TA;27
Neat;-40
LA;-40
TA;-40
LP;-40
Neat;151
LP;177
TP;154
Neat;81
LA;147
TP;118
Neat;133
LA;155
TA;197
Neat;145
Random;59
TA;59
LA;60
TA;60
TP;150
Neat;170
LP;23
LA;23
TP;155
LA;136
Neat;139
LA;127
TA;124
LP;148
LP;58
Neat;58
Neat;127
LP;138
LA;13
LP;13
LA;86
Random;151
Neat;154
LA;58
TP;58
LA;136
LP;126
LA;197
LP;131
TP;216
LP;225
Neat;313
TP;168
TP;262
LP;219
LA;201
LP;0
Random;0
TA;0
Neat;2
LA;-16
Neat;-16
TA;-16
LA;12
LP;12
TA;20
Neat;20
TP;22
LA;22
Neat;283
LA;286
TP;209
TA;177
TA;-23
LP;-23
Neat;-23
TA;145
LP;5
Neat;5
Neat;96
LP;339
LA;48
LP;48
Neat;3
TP;41
TA;41
TA;145
Neat;99
Random;328
LP;185
Neat;1
LA;144
LP;23
LA;23
LP;102
LA;7
Neat;7
TP;7
Neat;123
Neat;148
LP;195
LP;42
LA;42
Neat;194
LA;37
LP;37
TA;124
TA;261
Neat;83
TA;83
LP;103
LP;183
LA;-25
Neat;-25
LP;-25
LA;16
Neat;16
Neat;73
LP;164
TP;201
LA;382
LP;218
LA;27
Neat;27
TP;143
LA;143
LP;289
Neat;-8
LA;-8
LP;-8
LA;36
TP;36
LP;154
LP;3
LP;181
LP;29
TA;29
TA;157
LA;91
LA;17
Neat;17
TP;261
LP;275
LA;182
TP;172
LA;-26
Neat;-26
Random;-26
TP;162
LP;155
TP;145
Neat;145
Neat;211
TA;173
LP;214
TA;38
LA;38
Neat;213
Random;311
Neat;18
TA;18
Neat;5
Neat;69
TP;283
LP;139
Neat;147
Neat;-3
LA;-3
TP;-3
LP;-3
TA;209
LP;43
Random;43
LP;202
LA;144
