Jogador;ROI
Neat;76
TA;297
TA;158
TP;69
TP;11
LP;198
LP;49
LA;49
LA;197
LA;199
Neat;286
TA;221
Neat;198
LA;200
LP;105
TA;177
TA;275
TA;130
LP;49
LA;49
LP;171
LA;95
TP;221
Neat;197
TA;60
Neat;60
Neat;198
LA;199
TP;202
Neat;97
LA;97
LP;147
TP;177
LP;0
Neat;0
LA;0
Neat;198
LP;114
Neat;48
LA;48
Neat;381
TA;173
Neat;15
LA;15
LA;144
LP;58
TA;58
LP;158
Neat;13
LA;118
LP;262
TP;289
TP;7
TP;219
LA;286
TP;223
LP;50
LA;50
Neat;0
LA;0
LP;7
Neat;7
Neat;153
LP;249
LA;161
Neat;0
LA;0
LP;-14
Neat;-14
LA;-14
LP;141
Neat;196
LA;191
LA;173
LP;188
Neat;100
LP;202
LA;216
LP;161
Neat;173
TA;20
LP;20
Neat;3
Neat;72
LA;195
LA;381
LA;30
LP;30
Neat;7
LP;157
LA;68
Neat;2
Neat;381
TA;175
TP;291
Neat;196
LP;301
Neat;47
LA;47
LA;111
LA;161
LA;200
LP;7
LP;110
Neat;56
LA;56
Neat;208
Neat;164
TA;59
LP;59
Neat;217
TP;297
TP;234
TA;287
LP;142
LP;198
TP;219
LA;152
LP;288
LP;8
LA;125
LP;262
TA;175
Neat;255
LA;187
LA;192
LA;-5
TA;-5
TP;-5
Neat;-5
LP;197
LP;18
LA;18
LA;152
Neat;301
LA;94
LP;94
LA;18
LP;18
Neat;18
Neat;8
LA;228
LP;101
LP;139
LP;224
LA;-30
TA;-30
TP;-30
Neat;-30
Neat;225
TA;221
LA;219
LA;144
LA;181
LA;207
LP;0
Neat;0
TP;217
LP;219
Neat;100
TP;131
Neat;164
Neat;0
LA;0
LP;196
Neat;3
LP;164
Neat;235
TP;173
LP;12
LA;202
LP;289
Neat;76
Neat;191
LA;159
Neat;196
TP;29
Random;29
LA;29
Random;17
LA;17
Neat;94
TA;94
TP;381
Neat;159
Neat;204
LP;182
Neat;4
Neat;144
LA;-1
Neat;-1
LP;-1
LA;165
TP;81
LA;81
LP;49
Neat;49
Neat;184
Neat;182
LP;191
Neat;213
TP;185
LA;275
LP;133
LA;220
LP;59
TA;173
Neat;238
LP;210
LP;289
Neat;3
TA;219
Neat;13
TP;297
LP;249
Neat;18
LP;20
TA;192
TA;187
LP;171
LP;196
Neat;101
TA;190
LA;200
LA;221
Neat;201
LP;77
LA;77
TP;219
LA;52
LP;52
LA;-3
Neat;-3
TA;-3
LP;-3
TA;68
Neat;175
LP;253
LP;95
TA;95
Neat;216
Neat;213
TP;216
LP;188
Neat;197
LP;198
Neat;29
LA;29
LP;29
Neat;3
LA;32
Neat;32
TA;211
LP;10
Neat;4
TA;144
Neat;5
LP;5
LP;111
Neat;2
Neat;7
TP;187
LA;167
LA;0
Neat;0
TA;0
LP;0
LP;160
LP;103
LA;104
LP;85
Neat;3
LA;50
LP;50
TP;227
Neat;0
LA;0
Neat;7
Neat;4
Neat;3
Neat;47
TP;47
LA;130
TA;220
LA;165
Neat;152
Neat;40
LP;40
Neat;87
TA;87
LA;30
Neat;30
TP;142
TP;289
LA;219
Neat;102
Neat;133
TP;186
LA;161
TA;196
LA;209
Random;167
Neat;204
LP;159
LP;262
TA;220
LP;-28
Neat;-28
LA;-28
TA;288
TA;203
LP;154
LA;199
TP;197
Neat;145
Neat;204
LA;9
TA;9
LP;220
LP;242
LP;216
LP;160
Neat;73
LP;34
Neat;279
TA;-27
LP;-27
Neat;-27
LA;-27
LA;198
LP;197
Neat;48
LA;48
LA;50
LP;50
LA;173
TP;213
Neat;198
Neat;201
Random;192
TA;187
Neat;161
Neat;127
Neat;200
LP;-29
Neat;-29
LA;-29
Neat;143
TP;383
TP;401
TA;261
LP;75
LA;75
Neat;1
Random;19
TP;19
LA;2
Neat;2
Neat;160
TA;106
LP;197
LP;217
LA;196
LA;367
TA;173
Neat;112
LP;287
Neat;101
LA;169
Neat;245
LA;156
Neat;7
TP;250
TA;217
TP;107
Random;189
LA;100
TP;262
TA;288
TP;8
LP;288
Neat;197
Neat;135
TP;213
TA;238
Neat;198
Neat;5
LA;213
TP;106
Neat;8
LP;115
Neat;220
LA;101
Neat;271
LA;28
Neat;28
LA;176
Neat;10
Neat;132
LA;196
Neat;101
TP;194
Neat;27
Neat;243
LP;159
TA;58
LP;58
LA;21
Neat;21
TA;21
LP;21
LA;142
TA;49
LP;49
Neat;-18
LA;-18
TA;-18
LP;291
Neat;3
LA;191
Neat;209
LP;2
Neat;2
Neat;200
Neat;100
TA;308
LA;-26
Neat;-26
LP;-26
LP;189
TP;27
LA;27
LA;22
TA;22
Neat;217
Neat;219
Neat;2
TP;2
TA;173
LP;1
Neat;1
LA;190
LA;297
Neat;-1
LA;-1
LP;-1
LA;197
Neat;161
LP;105
TP;97
LP;97
LP;19
LA;19
Neat;-30
LA;-30
LP;-30
LA;197
LA;81
TP;196
LA;236
Neat;1
LA;1
Neat;101
LP;152
LA;30
Neat;30
TA;50
Random;50
LA;122
LA;295
LP;9
TA;286
TA;209
TP;155
LA;288
TA;301
LP;112
Neat;1
LP;1
LP;146
LP;197
TP;165
TA;198
Neat;60
TP;60
TP;265
TA;132
LA;228
TP;288
LA;198
Neat;113
LA;200
TA;197
LP;158
LP;271
LP;105
LA;105
Neat;197
LP;381
LA;100
Neat;101
LA;221
TP;297
LP;212
TA;139
LP;107
Neat;102
LP;101
LP;183
Neat;3
Neat;146
LA;209
LA;134
Neat;31
LA;31
TP;221
Neat;165
TP;198
LA;96
LP;96
LP;118
Neat;75
TA;75
Neat;110
Neat;49
LP;49
LA;48
LP;48
LA;103
TA;20
TP;20
Neat;20
Neat;106
LP;183
Random;-14
Neat;-14
TA;-14
LA;-4
Neat;-4
LP;-4
LA;159
TA;81
LA;81
LP;-15
Neat;-15
TA;-15
LP;152
Neat;199
LA;196
TA;187
LP;198
Neat;301
Neat;197
TA;216
TP;147
TA;165
LP;100
Neat;135
LP;-1
Neat;-1
LA;-1
Neat;94
TP;94
TP;294
LA;159
Neat;236
Neat;6
TA;134
TA;39
TP;39
Neat;6
LP;164
LP;197
LP;5
Neat;5
TA;5
LA;152
TA;297
Neat;204
LP;195
LA;136
Neat;197
