Jogador;ROI
LA;204
LA;98
LP;161
LP;200
TA;219
LP;59
LA;59
LA;99
LP;192
LA;32
LP;32
TA;197
LA;217
LP;37
TA;196
Neat;184
LP;122
TA;131
TP;177
LA;219
LA;158
Neat;286
Neat;186
TA;-15
TP;-15
LP;-15
LA;-15
TA;216
LA;132
LA;211
Neat;200
LP;181
LP;261
LP;142
Neat;4
LA;292
LA;180
LP;193
Neat;165
Neat;3
Neat;197
Neat;215
LP;191
Neat;165
LP;213
LP;140
LP;63
Neat;63
Neat;3
TP;3
LP;286
TP;169
LP;197
TP;139
Neat;295
Neat;221
Neat;196
LA;159
TP;290
Neat;197
TP;7
Neat;94
TP;94
LA;30
LP;30
Neat;151
TA;197
LP;273
LP;197
LA;101
LP;147
LA;54
TA;54
TA;197
Neat;216
TP;6
Neat;115
TA;278
LA;167
Neat;1
LA;1
TP;149
LP;99
Random;93
TA;93
Neat;192
LA;160
Neat;228
LP;203
LP;-10
LA;-10
TP;-10
LP;139
LP;286
TA;173
LP;-1
Neat;-1
LA;-1
LA;236
LA;114
LA;196
LA;97
TP;97
LA;84
LP;84
LA;197
TP;191
Neat;48
TP;48
Neat;59
TA;59
LA;99
LA;36
LP;36
LP;261
Neat;5
Neat;148
Neat;155
LA;197
TP;195
Neat;53
LA;165
LP;255
TP;3
LP;3
LA;195
LA;73
LP;73
LP;-13
Neat;-13
LA;-13
LA;163
Neat;197
Neat;199
TP;249
Neat;3
Neat;98
LA;196
Neat;6
Neat;13
Random;187
LP;6
Neat;3
LA;3
LP;155
LP;71
Neat;71
LA;196
Neat;99
LA;133
LA;198
Neat;198
LP;50
LA;50
Neat;25
TA;25
Neat;2
LP;2
Neat;159
TA;23
TP;23
Neat;23
LA;216
LP;-29
Neat;-29
LA;-29
Neat;49
LA;49
LA;286
LP;155
Neat;4
LA;22
TA;22
LP;132
TA;225
Random;152
LP;191
LP;106
LP;99
Neat;199
TP;288
Neat;155
LP;99
Neat;4
TA;228
Neat;111
LP;257
LP;339
LP;259
TA;49
Neat;49
Neat;4
LP;35
TP;35
Neat;101
Neat;192
TA;173
LP;0
Neat;0
LA;0
LA;202
TA;199
LP;115
LA;381
LP;106
Neat;207
LA;295
LA;104
LA;288
LA;101
LA;130
TP;145
LP;288
TA;289
TP;27
LP;360
Neat;160
LP;1
Neat;1
LP;195
TP;264
LP;190
Neat;286
LA;164
Neat;203
LP;50
LA;50
Neat;8
TA;288
Neat;105
LP;221
Neat;198
Neat;289
Neat;14
Neat;267
TP;195
LP;173
LP;8
LA;8
TA;168
Neat;113
LA;3
LP;3
LA;49
LP;49
LP;223
Neat;4
TP;-32
LP;-32
Random;-32
TA;-32
Neat;2
LA;99
LP;197
Neat;266
TA;53
LP;53
TP;217
TP;349
Neat;6
LP;6
LA;119
TP;119
LP;156
TP;160
LP;197
LP;1
Neat;1
Neat;220
TA;360
LA;37
LP;37
LP;186
Neat;288
LP;14
Neat;14
TP;14
Neat;185
LA;52
Neat;52
LP;52
LA;164
LP;207
Neat;168
TA;199
TA;179
Neat;199
TP;209
LA;199
LA;200
LP;4
LA;252
LA;181
TA;49
TP;49
LP;21
LA;21
Neat;141
LP;29
Random;29
LA;29
Neat;29
LA;29
TP;29
LA;155
LP;1
Neat;1
TA;219
Neat;49
LA;49
LP;35
TA;35
TA;219
Neat;191
Neat;159
LP;179
LA;129
Random;102
LA;144
Neat;37
TA;37
LA;164
TP;198
LP;104
LA;197
LP;204
LA;-2
Neat;-2
LP;-2
LA;-38
TA;-38
TP;-38
LP;-38
Neat;-38
LA;198
TA;217
Neat;72
Neat;216
TP;291
LA;133
TP;198
Neat;159
LP;289
Neat;151
Neat;199
LP;163
LP;51
LA;51
LP;196
LP;48
Neat;48
LA;48
Neat;-5
LA;-5
LP;-5
Neat;3
LP;3
TA;207
TA;315
TP;301
LP;9
LA;58
LP;58
TP;186
LA;160
Neat;104
LP;48
LA;48
LP;49
Neat;49
Neat;2
LA;195
LP;198
LP;185
TP;5
LP;29
Neat;29
Neat;219
Neat;147
LA;218
LP;48
LA;48
LA;273
LP;222
LA;190
TA;287
Neat;160
Random;162
LP;171
LP;3
LP;79
LP;9
LA;132
LA;102
LP;154
TA;291
Neat;-1
LA;-1
LP;-1
Random;125
Neat;173
LP;11
LA;100
Neat;197
Neat;48
LP;48
Neat;249
LP;227
Neat;4
LP;17
LP;171
TP;295
TP;117
LA;96
TP;96
LP;158
LA;198
Neat;1
Neat;158
LA;-4
Neat;-4
TP;-4
LP;-4
Neat;6
LA;283
LP;137
LP;38
Neat;38
TP;38
Neat;39
TA;39
TP;291
LP;182
Neat;261
LA;159
Neat;109
Neat;121
TP;181
TA;160
TA;82
Neat;82
Neat;196
Neat;114
TP;177
TA;271
Neat;157
TA;-9
Neat;-9
Neat;220
Neat;3
Neat;-1
LA;-1
LP;-1
TP;305
TP;54
LP;54
Neat;192
TA;249
TA;301
Neat;3
LP;3
LP;271
TA;212
TA;60
Neat;60
LP;16
Neat;16
TA;16
Neat;111
Neat;-1
LA;-1
LP;-1
LP;134
LP;291
TA;25
Neat;25
LP;3
Neat;197
Neat;7
TA;286
LA;173
TA;141
LA;140
TA;197
Neat;119
LA;173
TP;164
LP;4
TP;49
LA;49
LP;195
LP;216
TA;287
Neat;160
Neat;75
Neat;4
Neat;217
LA;197
Neat;286
TA;173
LP;205
TP;294
LP;152
LA;130
LP;130
LA;99
LP;159
TA;155
TA;197
Neat;221
LP;158
LA;271
LP;130
TP;179
Neat;7
LA;7
LA;72
LA;198
LA;148
LP;188
TA;29
LA;29
LP;98
Random;220
LA;98
Neat;271
LP;220
LA;214
TP;297
TP;221
TA;216
Neat;109
LA;-30
TA;-30
LP;-30
Neat;-30
LP;99
Neat;288
Neat;197
LA;234
LA;125
LA;98
Neat;197
LA;196
TP;279
Random;179
Neat;187
TP;170
LA;203
TA;241
LP;69
LA;69
TP;99
LP;99
Neat;331
Neat;159
LP;-26
Neat;-26
LA;-26
Neat;165
LA;113
TP;155
Neat;291
Neat;118
TP;187
LA;65
TA;65
LP;-34
Random;-34
Neat;-34
LA;-34
TA;-34
TP;-34
LP;3
Neat;286
LA;7
TA;7
LP;7
TP;27
LP;27
Neat;197
Neat;219
TA;112
LA;322
Neat;161
LP;50
LA;50
LP;105
TP;148
TA;204
LA;44
Neat;44
TP;146
Neat;197
Neat;9
Neat;4
TA;101
LA;5
Neat;5
TA;291
TP;213
LA;217
Neat;68
LA;199
LP;147
LA;151
TP;87
LA;87
LP;154
LP;3
LA;3
Neat;8
TA;24
LP;24
TA;173
Neat;158
TP;161
LA;256
LA;129
LP;249
LP;8
Neat;7
LP;197
Neat;24
Neat;197
LA;197
LP;5
LP;308
Neat;216
LA;129
Random;39
LA;39
Neat;120
LA;165
TP;295
TP;199
TP;7
LP;158
LA;102
LA;98
TA;131
TP;217
TA;217
Neat;4
LA;48
LP;48
TA;-3
LP;-3
Random;-3
TP;270
LP;291
TP;304
Neat;49
LP;49
LA;199
LA;173
Neat;9
LP;58
TA;58
LP;185
TA;104
LP;104
LA;201
LA;159
Neat;9
LA;216
LA;98
LA;200
LP;110
Neat;99
Neat;238
Neat;288
LP;1
Neat;1
TP;288
LA;-1
Neat;-1
LP;-1
Neat;161
Neat;192
